id	alias	attack_country	attack_means	attack_target	belong_country	create_time	creation_date	family	note	update_time	apts	status	system_tool	system_type	threat_type
5569	apk.charger					NULL		Charger	Charger 是一种 Android 恶意软件，可从用户的设备中窃取联系人和 SMS 消息。 如果它获得管理员权限，它还可以锁定设备并要求支付赎金。	NULL		保留	\0	apk	窃密
5570	win.chch					NULL		Chch	CHCH 是一种于 2019 年 12 月在野外发现的勒索软件。它会加密受害者文件并为其添加扩展名 .chch，同时会释放一个名为：READ_ME.TXT 的勒索软件注释	NULL		保留	\0	win	勒索
5571	scorpion,hambackdoor,win.chches,haymaker					NULL		Chches	ChChes 是一种木马，似乎仅供 menuPass 使用。 它在 2016 年被用来针对日本组织。它缺乏持久性方法表明它可能被用作第一阶段的工具。	NULL	Stone Panda	保留	\0	win	木马
5572	crowdedflounder,win.cheesetray					NULL		CheeseTray	CHEESETRAY 是一个复杂的代理感知后门，可以根据传递的命令行参数在主动和被动模式下运行。 后门能够枚举文件和进程、枚举驱动程序、枚举远程桌面会话、上传和下载文件、创建和终止进程、删除文件、创建反向 shell、充当代理服务器以及劫持进程等其他功能。 后门通过 TCP 使用自定义二进制协议与其 C&C 服务器通信，端口指定为命令行参数。	NULL	Lazarus Group	保留	\0	win	远控
5573	chemistgames					NULL		ChemistGames	CHEMISTGAMES 是由 Sandworm Team 部署的模块化后门。	NULL		保留	\0		远控
5574	win.chernolocker					NULL		ChernoLocker	Chernolocker 是一种勒索软件，它使用 AES-256 加密受害者的文件并要求 BTC 赎金。 不同版本由攻击者的电子邮件地址分类，该地址随时间变化。	NULL		保留	\0	win	勒索
5575	cherrypickerpos,win.cherry_picker,cherry_picker,cherrypicker					NULL		CherryPicker	PoS恶意软件	NULL		保留	\0	win	木马
5576	win.chewbacca					NULL		Chewbacca	一款新的基于Tor的恶意软件——ChewBacca. 与金融木马有关的网络犯罪近几个月日益攀升	NULL		保留	\0	win	木马
5577	win.chinachopper,China Chopper					NULL		ChinaChopper	一个简单的代码注入webshell，它在HTTP POST命令中执行Microsoft . net代码。这允许shell上传和下载文件，使用web服务器帐户权限执行应用程序，列出目录内容，访问Active directory，访问数据库，以及. net运行时允许的任何其他操作。	NULL	APT41, EMISSARY PANDA, GALLIUM, HAFNIUM, Hurricane Panda, Leviathan	保留	\0	win	远控
5578	win.chinad					NULL		Chinad	为流行浏览器使用插件技术显示广告的广告软件	NULL		保留		win	木马
5579	win.chinajm					NULL		Chinajm	勒索软件	NULL		保留	\0	win	勒索
5580	apk.chinotto,win.chinotto					NULL		Chinotto	研究人员发现了一个恶意的 Windows 可执行文件，并从 VirusTotal 和研究人员自己的样本集合中发现了其他恶意程序变体。其中一个 Windows 可执行文件包含构建路径，恶意程序开发者似乎将恶意程序称为“Chinotto”。	NULL	APT37	保留	\0	apk,win	窃密
5581	win.chinoxy					NULL		Chinoxy		NULL		保留	\0	win	
5582	win.chir					NULL		Chir		NULL		保留	\0	win	
5583	win.chiser_client					NULL		ChiserClient		NULL	Pirate Panda	保留	\0	win	
5584	xagent,splm,chopstick,backdoor.sofacyx,x-agent,webhp					NULL		Chopstick	CHOPSTICK是APT28使用的模块化后门软件家族。它至少从2012年起就开始使用，通常作为第二阶段恶意软件投放到受害者身上，尽管它在几起案件中被用作第一阶段恶意软件。它有Windows和Linux两种版本。它与Android的X-Agent分开跟踪。	NULL		保留	\0		木马
5585	js.chromeback,chromeloader,choziosiloader,Choziosi					NULL		ChromeBack	GoSecure将ChromeBack描述为浏览器劫机者，将流量重定向并向用户提供广告。	2024-09-09		保留	\0	js	木马
5586	apk.chrysaor,jigglypuff,pegasus					NULL		Chrysaor	Chrysaor做为间谍软件，它的主要工作就是监听目标设备并与C2服务器(Command & Control server)保持联络，但是值得注意的是，作为武器使用的间谍软件攻击目标是特定的，所以为特定机型进行了定制。	NULL		保留	\0	apk	窃密
5587	androkins,win.chthonic					NULL		Chthonic	这款木马针对的是大量在线银行系统：超过150家不同的银行，还有来自15个国家的20个支付系统。主要针对来自英国、西班牙、美国、俄罗斯、日本和意大利的银行。	NULL		保留	\0	win	木马
5588	win.cifty					NULL		Cifty		NULL		保留	\0	win	
5589	win.cinobi					NULL		Cinobi	恶意广告以 Cinobi银行木马窃取用户加密货币凭证	NULL		保留	\0	win	木马
5590	circles					NULL		Circles	据报道，Circles利用了信令系统7 (SS7)的弱点，即用来路由电话的协议套件，来跟踪移动设备的位置，并拦截语音通话和短信。它可以连接到电信公司的基础设施，也可以作为云服务购买。据报道，圈子与NSO集团有关。	NULL		保留	\0		木马
5591	win.citadel					NULL		Citadel		NULL		保留	\0	win	
5592	win.clambling					NULL		Clambling	攀爬是由趋势科技和TalentJump发现的。这是一种定制恶意软件，被他们称为DRBControl的参与者使用，目标是东南亚的赌博和博彩公司。Clambling的一个版本使用Dropbox作为C&C通道来隐藏其通信。	NULL		保留	\0	win	木马
5593	win.classfon					NULL		Classfon		NULL		保留	\0	win	
5594	win.cleantoad					NULL		Cleantoad	CLEANTOAD是一个破坏工具，它将删除文件系统构件，包括与BLINDTOAD相关的构件，并将在从配置文件中获取日期后运行。该恶意软件将shellcode注入notepad.exe，并覆盖和删除文件，修改注册表项，删除服务，清除Windows事件日志。	NULL	Lazarus Group	保留	\0	win	木马
5595	win.client_maximus					NULL		ClientMaximus		NULL		保留	\0	win	
5596	apk.clientor					NULL		Clientor		NULL		保留	\0	apk	
5597	win.clipbanker					NULL		Clipbanker	ClipBanker木马被称为信息窃取者和间谍木马，它旨在从受感染的环境中窃取和记录任何类型的敏感信息，如浏览器历史、cookie、Outlook数据、Skype、Telegram或加密货币钱包账户地址。这种威胁的主要目的是窃取机密信息。ClipBanker使用PowerShell命令执行恶意活动。ClipBanker的独特之处在于它能够记录用户的各种银行操作，并为自己的利益操纵它们。ClipBanker的传播方式是通过钓鱼电子邮件或社交媒体帖子，引诱用户下载恶意内容。	NULL		保留	\0	win	窃密
5598	apk.clipper					NULL		Clipper		NULL		保留	\0	apk	窃密
5599	win.clop					NULL		Clop	Clop是一个勒索软件，它在加密受害者的文件后使用。Clop扩展名。Clop的另一个独特特征是在字符串中:“不要担心C	NULL	TA505	保留	\0	win	勒索
5600	snoopy,elf.cloud_snooper,Cloud_Snooper					NULL		CloudSnooper	无视AWS云服务器防火墙的恶意软件CloudSnooper	NULL		保留	\0	elf	
5601	apk.cloudatlas,apt_cloudatlas					NULL		CloudAtlas	Cloud Atlas是一种高级可持续性威胁（APT），又被称为Inception。这种威胁利用新的工具升级了其武器库，从而让它可以避免通过标准的感染迹象被检测到。这种升级了的感染链已经在野外被发现，活动范围在东欧、中亚和俄罗斯的不同组织中。	2023-07-07	Inception Framework	保留	\0	apk	窃密
5602						NULL		CloudDuke	CloudDuke是APT29在2015年使用的恶意软件。	NULL		保留	\0		木马
5603	vbdropper,guloader,win.cloudeye					NULL		CloudEye	CloudEyE(最初命名为GuLoader)是一个小型的VB5/6下载程序。它通常下载rat /Stealers，如Agent Tesla, Arkei/Vidar, Formbook, Lokibot, Netwire和Remcos，通常但不总是从谷歌Drive。下载的有效载荷是xoxore。	NULL		保留	\0	win	木马
5604	cmd,cmd.exe					NULL		Cmd	cmd是Windows命令行解释器，可用于与系统交互，并执行其他进程和实用程序。	NULL	BRONZE BUTLER,Honeybee,APT18,Orangeworm,menuPass,GALLIUM	保留	\0		木马
5605	win.cmsbrute					NULL		Cmsbrute	幽灵勒索病毒再度来袭，加密上百种常用文件	NULL		保留	\0	win	勒索
5606	win.cmstar,meciv					NULL		Cmstar		NULL		保留	\0	win	
5607	win.coalabot					NULL		Coalabot		NULL		保留	\0	win	
5608	win.cobalt_strike,agentemis,cobalt_strike,cobaltstrike,beacon,CobaltStrike_beacon,CobaltStrike_teamserver,Cobalt Strike,beacon木马,CobaltStrikeScanner,cobaltstrikescan,cobaltstrike-2,cs木马,cobaltstr					NULL		CobaltStrike	Cobalt Strike是一款付费渗透测试产品，允许攻击者在受害机器上部署名为“Beacon”的代理。Beacon为攻击者提供了丰富的功能，包括但不限于命令执行、密钥记录、文件传输、SOCKS代理、特权升级、mimikatz、端口扫描和横向移动。Beacon是内存中/无文件的，因为它由无阶段或多阶段的shellcode组成，一旦通过利用漏洞或执行shellcode加载器加载，就会反射地将自己加载到进程的内存中，而不接触磁盘。它支持C2和HTTP、HTTPS、DNS、SMB命名管道以及正向和反向TCP;信标可以用雏菊拴住。Cobalt Strike附带了一个用于开发shellcode加载器的工具包，称为Artifact Kit。	2024-09-11	APT 29, APT32, APT41, AQUATIC PANDA, Anunak, Cobalt, Codoso, CopyKittens, DarkHydrus, FIN6, Leviathan, Mustang Panda, Shell Crew, Stone Panda, UNC1878, UNC2452, Winnti Umbrella	保留	\0	win	木马
5609	win.cobian_rat,cobianrat					NULL		CobianRat	Zscaler公司的ThreatLabZ研究人员发现了这个恶意软件包的后门本质，Cobian RAT可能能让其他相当黑客的人(wannabe hackers)相对轻松地构建自己的木马版本。	NULL		保留	\0	win	木马
5610	coolpants,win.cobint					NULL		Cobint	CobInt，是Cobalt集团的一个自主开发的后门。该模块化工具能够收集有关受损机器的初始情报信息，并从其桌面流媒体视频。如果运营商决定对该系统感兴趣，该后门将下载并启动CobaltStrike框架阶段。ISFB也发现它的CRM邮件插槽模块被下载。	NULL	Cobalt	保留	\0	win	木马
5611	win.cobra,carbon					NULL		Cobra		NULL	Turla Group	保留	\0	win	
5612	win.cockblocker					NULL		CockbLocker		NULL		保留	\0	win	
5613	win.codekey					NULL		CodeKey		NULL		保留	\0	win	
5614	win.cohhoc					NULL		Cohhoc		NULL		保留	\0	win	
5615	win.coinminer,elf_coinminer,osx_coinminer					NULL		CoinMiner	Coinminer是一个不受欢迎的恶意软件，它使用受害者的计算能力(主要是CPU和RAM)来挖掘硬币(例如Monero或Zcash)。恶意软件通过在启动时添加一个开源矿工来实现持久性，而没有受害者的共识。大多数先进的硬币挖掘者使用定时器设置或限制CPU使用率，以保持隐形。	2023-07-07		保留	\0	win	挖矿
5616	osx.cointhief					NULL		CoinThief	CoinThief是一个恶意软件包，旨在从受害者窃取比特币，包括一个二进制补丁程序，浏览器扩展，和一个后门组件。	NULL		保留	\0	osx	窃密
5617	cointicker					NULL		CoinTicker	CoinTicker是一个恶意应用程序，它伪装成一个加密货币价格报价器，并安装开源后门EvilOSX和EggShell的组件。	NULL		保留	\0		木马
5618	win.coldbrew					NULL		ColdBrew		NULL		保留	\0	win	
5619	win.coldlock					NULL		ColdLock	针对数据库和电子邮件服务器进行加密，有较强的破坏性。加密后的文件扩展名为.locked	NULL	APT41	保留	\0	win	勒索
5620	osx.coldroot_rat					NULL		ColdRootRat	直接修改了macOS的“隐私数据库”（TCC.db），该数据库中包含了具有“可访问性”权限的应用程序列表	NULL		保留	\0	osx	木马
5621	coldseal,win.coldseal					NULL		ColdSeal	Cold$eal是一个加密(密封)恶意软件的包装器。它包含一些av规避技术以及一些沙箱检测。它是由$@dok(又名Sadok又名Coldseal)开发的。它是一个加密服务，网址是coldseal。我们，后来作为一个工具包出售，包括加密器和定制的加密存根，包括一个FuD担保，由免费更新加密存根支持。有效负载使用RC4加密，并作为资源添加到加密存根中。加密密钥本身也存储在资源中。启动后，加密存根将提取密钥，解密有效负载，并使用现在解密的有效负载执行一个自注入。注意:提供的打包样例包含一些无害的有效负载，而未打包的样例是没有有效负载的裸加密存根。	NULL		保留	\0	win	木马
5622	win.coldstealer					NULL		ColdStealer		NULL		保留	\0	win	
5623	win.colibri					NULL		Colibri		NULL		保留	\0	win	
5624	collectorstealer,win.collectorgoomba					NULL		Collectorgoomba		NULL		保留	\0	win	
5625	bandios,win.colony,graybird					NULL		Colony		NULL		保留	\0	win	
5626	win.combojack					NULL		Combojack	ComboJack的木马程序能够随时监控Windows的剪贴簿。	NULL		保留	\0	win	木马
5627	win.combos					NULL		Combos		NULL	Comment Crew	保留	\0	win	
5628	win.comebacker					NULL		Comebacker	这个恶意软件是在一个后门的Visual Studio项目中发现的，该项目被用来攻击安全研究人员。	NULL	Lazarus Group	保留	\0	win	木马
5629	apk.comet_bot,Comet					NULL		CometBot		NULL		保留	\0	apk	
5630	win.comfoo					NULL		Comfoo		NULL		保留	\0	win	
5631	win.comlook					NULL		Comlook		NULL	Turla Group	保留	\0	win	
5632	comnie					NULL		Comnie	Comnie是一个偏远的后门，在东亚的袭击中被使用。	NULL		保留	\0		木马
5633	win.comodosec					NULL		Comodosec		NULL		保留	\0	win	
5634	win.compfun,reductorrat					NULL		Compfun		NULL		保留	\0	win	
5635	win.computrace,lojack					NULL		Computrace		NULL	Sofacy	保留	\0	win	
5636	win.comrade_circle					NULL		ComradeCircle		NULL		保留	\0	win	
5637	comrat					NULL		ComRat	ComRAT是第二阶段植入物，被怀疑是特工的后代。由Turla使用。ComRAT的第一个版本是在2007年发现的，但是自那以后，该工具经历了多年的实质性发展。	NULL		保留	\0		木马
5638	win.concealment_troy					NULL		ConcealmentTroy		NULL		保留	\0	win	
5639	coronaupdates,concipit1248					NULL		Concipit1248	Concipit1248是一款iOS间谍软件，被发现与Android间谍软件Corona Updates的开发者同名。进一步的调查显示，这两款软件包含相同的C2 URL和类似的功能。	NULL		保留	\0		窃密
5640	trafficconverter,win.conficker,downadup,kido					NULL		Conficker	Conficker是一种电脑蠕虫，于2008年10月首次发现，利用微软Windows系统的MS08-067漏洞进行传播。2016年，Conficker的一个变种进入了属于一家核电站的计算机和可移动磁盘驱动器。	NULL		保留	\0	win	蠕虫
5641	win.confucius					NULL		Confucius	Confucius使用假浪漫网站诱骗受害者安装恶意Android应用程序	NULL		保留	\0	win	木马
5642	connectwise,screenconnect					NULL		ConnectWise	ConnectWise是一种合法的远程管理工具，至少自2016年以来，包括MuddyWater和GOLD SOUTHFIELD在内的威胁行为者就使用它来连接目标环境并进行横向移动。	NULL		保留	\0		木马
5643	apk.connic,spybanker					NULL		Connic		NULL		保留	\0	apk	
5644	win.conti					NULL		Conti	Conti是一种勒索软件即服务，于2019年12月首次被发现，并通过欺骗机器人分发。它被用来对付大公司和政府机构，特别是北美的公司。与其他勒索软件家族一样，使用Conti的演员从被泄露的网络窃取敏感文件和信息，并威胁要公布这些数据，除非支付赎金。	NULL		保留	\0	win	勒索
5645	win.contopee,whiteout					NULL		Contopee	FireEye将此恶意软件描述为一个感知代理的后门，使用自定义加密的二进制协议进行通信。它可以使用注册表来存储可选的配置数据。据观察，后门支持26个命令，包括目录遍历、文件系统操作、数据归档和传输以及命令执行。	NULL	Lazarus Group	保留	\0	win	木马
5646	osx.convuster					NULL		Convuster		NULL		保留	\0	osx	
5647	win.cookiebag					NULL		CookieBag		NULL	Comment Crew	保留	\0	win	
5648	cookieminer					NULL		CookieMiner	CookieMiner是一款基于mac的恶意软件，以加密货币交易所相关信息为目标，并在受害者系统本身启用加密货币挖掘。它于2019年首次在野外被发现。	NULL		保留	\0		挖矿
5649	apk.coper\n\n,exobotcompact,octo,apk.coper					NULL		Coper	Coper是ExoBotCompat的后代，ExoBotCompat是Exobot的重写版本。恶意Coper应用程序具有模块化架构和多阶段感染机制。Coper最初是在哥伦比亚发现的，但后来也出现在欧罗巴。	NULL		保留	\0	apk	木马
5650	win.copper_stealer,mingloa					NULL		CopperStealer		2023-07-07		保留	\0	win	
5651	coraldeck					NULL		Coraldeck	CORALDECK是APT37使用的一种过滤工具。	NULL		保留	\0		木马
5652	win.corebot					NULL		CoreBot		NULL		保留	\0	win	
5653	win.coredn					NULL		Coredn		NULL	Lazarus Group	保留	\0	win	
5654	sofacy,win.coreshell,sourface					NULL		CoreShell	CORESHELL是APT28使用的下载程序。这个恶意软件的旧版本被称为SOURFACE，新版本被称为CORESHELL。	NULL	Sofacy	保留	\0	win	木马
5655	elf.corona					NULL		Corona		NULL		保留	\0	elf	
5656	coronaupdates,concipit1248,wabimusic					NULL		CoronaUpdates	Corona Updates是一款利用冠状病毒大流行的Android间谍软件。散布这个间谍软件的活动被称为“间谍计划”。该间谍软件的多个变种已被发现在谷歌Play Store上托管。	NULL		保留	\0		窃密
5657	apk.corona_worm					NULL		CoronaWorm	伪装成一个可以提供“冠状病毒安全面罩”的应用程序，但手机的地址簿和发送短信给联系人，传播自己的下载链接。	NULL		保留	\0	apk	蠕虫
5658	coronaviruscover-ransomware,win.coronavirus_ransomware					NULL		CoronaVirusRansomware		NULL		保留	\0	win	
5659	tinybaron,nemesisgemina,botgenstudios,cosmicduke					NULL		CosmicDuke	CosmicDuke是APT29从2010年到2015年使用的恶意软件。	NULL		保留	\0		木马
5660	costabricks					NULL		CostaBricks	CostaBricks是在CostaRicto活动中用于部署32位后门的装载器。	NULL		保留	\0		木马
5661	win.cotx,Cotx RAT					NULL		Cotx		NULL	TA428	保留	\0	win	
5662	covically,win.covicli					NULL		Covicli	Covicli是一个经过修改的SSLeay32动态库被指定为后门。动态库允许攻击者通过openSSL与C2通信。	NULL	MuddyWater	保留	\0	win	木马
5663	win.covid22					NULL		Covid22	破坏性的“笑话”恶意软件，最终为MBR部署一个雨刷。	NULL		保留	\0	win	木马
5664	win.coviper					NULL		Coviper		NULL		保留	\0	win	
5665	cozycar,cozybear,cozer,cozyduke,euroapt					NULL		Cozycar	CozyCar是APT29从2010年到2015年使用的恶意软件。它是一个模块化的恶意软件平台，它的后门组件可以被指示下载和执行具有不同功能的各种模块。	NULL		保留	\0		窃密
5666	osx.cpumeaner					NULL		Cpumeaner	OSX.CpuMeaner：针对macOS平台的新型挖矿木马	NULL		保留	\0	osx	挖矿
5667	apk.cpuminer,elf.cpuminer					NULL		CpuMiner	据观察，这是由物联网恶意软件推动的，滥用设备进行莱特币和比特币挖矿。	NULL		保留	\0	apk,elf	挖矿
5668	elf.cr1ptt0r,cripttor					NULL		Crlpttor	一个名为“Cr1ptT0r”的勒索病毒毒株在2019年冬天从许多D-Link系统中破坏了“Cereals”恶意软件，这也加速了这一僵尸网络的衰落。	NULL		保留	\0	elf	勒索
5669	crackmapexec					NULL		CrackMapExec	CrackMapExec，或CME，是一个使用Python开发的后开发工具，用于网络渗透测试。CrackMapExec收集活动目录信息，通过目标网络进行横向移动	NULL		保留	\0		木马
5670	win.crackshot					NULL		CrackShot	CRACKSHOT是一个下载程序，可以下载文件(包括二进制文件)，并从硬盘运行它们或直接在内存中执行它们。它也能够使自己进入休眠状态。	NULL	APT41	保留	\0	win	木马
5671	win.cradlecore					NULL		Cradlecore		NULL		保留	\0	win	
5672	win.crat					NULL		CRat	据Cisco Talos称，CRAT是一种带有插件功能的远程访问木马，Lazarus至少从2020年5月开始使用它。	NULL	Lazarus Group	保留	\0	win	木马
5673	win.creamsicle					NULL		Creamsicle		NULL	APT 30	保留	\0	win	
5674	osx.creative_updater					NULL		CreativeUpdater	OSX/CreativeUpdater木马又被发现，它借助热门的MacUpdate网站上被感染的应用来传播。	NULL		保留	\0	osx	木马
5675	win.credraptor					NULL		Credraptor		NULL	TeleBots	保留	\0	win	
5676	win.crenufs					NULL		Crenufs		NULL		保留	\0	win	
5677	seedoor,win.crimson,scarimson,Crimson RAT,CrimsonRAT					NULL		Crimson	Crimson是一种远程访问木马，透明部落(Transparent Tribe)至少从2016年就开始使用它了。	NULL	Operation C-Major	保留	\0	win	木马
5678	win.crimsonias					NULL		Crimsonias	据“威胁连接”称，crimson是一个由delphi编写的后门程序，其历史至少可以追溯到2017年。它使操作人员可以运行命令行工具、窃取文件、向受感染机器上传文件。crisonias值得注意的是，它只侦听传入的连接;这与典型的Windows后门不同。	NULL	Mustang Panda	保留	\0	win	木马
5679	win.cring					NULL		Cring	勒索软件	NULL		保留	\0	win	勒索
5680	osx.crisis					NULL		Crisis	木马程式,专门针对Mac OS作业系统下手,搜集MSN、Skype、Mozilla Firefox、Safari等软体通讯。	NULL		保留	\0	osx	木马
5681	elf.cronrat					NULL		CronRat	一个用Bash编写的恶意软件，隐藏在2月31日的Linux日历系统中。与魔法车攻击有关。	NULL		保留	\0	elf	窃密
5682	jar.crossrat,trupto					NULL		CrossRat	CrossRAT是一个跨平台RAT病毒。	NULL	Dark Caracal	保留	\0	jar	窃密
5683	osx.crossrider					NULL		CrossRider		NULL		保留	\0	osx	
5684	win.crosswalk,tommygun,motnug,proxip					NULL		CrossWalk	根据FireEye的说法，CROSSWALK是一个骨架、模块化的后门，能够进行系统调查，并添加模块来响应C&C回复。	NULL	APT41	保留	\0	win	木马
5685	win.crutch					NULL		Crutch	Crutch是一个为窃取文件而设计的后门，Turla至少从2015年就开始使用它了。	NULL	Turla Group	保留	\0	win	窃密
5686	win.cryakl,crylock					NULL		Cryakl	研究人员在2014年春天首次发现了Cryakl，当时该恶意软件刚刚开始传播，主要是通过垃圾邮件	NULL		保留	\0	win	勒索
5687	apk.crycryptor,crydroid,crycrypter					NULL		Crycryptor	名为CryCryptor的勒索软件伪装成一款官方新冠疫情追踪应用，将目标锁定在加拿大的安卓用户身上。这款勒索软件通过两个政府支持的网站传播，对受害者设备上的个人数据进行加密。ESET的研究人员分析了勒索软件，并为受害者开发了解密工具，此外还通知了加拿大网络安全中心发现和识别该勒索软件。	NULL		保留	\0	apk	勒索
5688	win.crylocker					NULL		CryLocker		NULL		保留	\0	win	
5689	win.crypmic					NULL		Crypmic		NULL		保留	\0	win	
5690	win.cryptbot					NULL		CryptBot	一个典型的信息提供者，能够获取浏览器、加密货币钱包、浏览器cookie、信用卡的凭证，并创建受感染系统的屏幕截图。所有被盗的数据都被打包成一个zip文件上传到c2。	NULL		保留	\0	win	窃密
5691	win.cryptic_convo					NULL		CrypticConvo	CrypticConvo是一种插入木马，它似乎嵌入在一个自动生成框架中，以传递FakeM木马。据paloaltonetworkscrypticconvo和其他几个木马被认为包含在“猩红模仿者”使用的元框架中，以快速躲避AV系统。	NULL	Scarlet Mimic	保留	\0	win	木马
5692	win.crypto_fortress					NULL		CryptoFortress		NULL		保留	\0	win	
5693	win.crypto_ransomeware					NULL		CryptoRansomeware		NULL		保留	\0	win	
5694	ranet,win.cryptodarkrubix					NULL		CryptoDarkRubix		NULL		保留	\0	win	
5695	cryptoistic					NULL		Cryptoistic	Cryptoistic是一个后门，用Swift写，已被Lazarus Group使用。	NULL		保留	\0		木马
5696	win.cryptolocker,Crypt0l0cker					NULL		CryptoLocker	CryptoLocker是一种新的复杂的恶意软件，于2013年底发布。它被设计用来攻击Windows操作系统，通过使用RSA-2048公钥加密来自系统的所有文件。要解密上述文件，用户必须支付赎金(通常为300美元/欧元)或2个比特币。	NULL		保留	\0	win	木马
5697	win.cryptoluck					NULL		CryptoLuck		NULL		保留	\0	win	
5698	win.cryptomix,cryptfile2					NULL		CryptoMix	CryptoMix的一个变体是win.clop。	NULL		保留	\0	win	勒索
5699	js.cryptonight					NULL		CryptoNight	基于crpyto miner的webassemblys。	NULL		保留	\0	js	挖矿
5700	win.cryptopatronum					NULL		CryptoPatronum	CryptoPatronum是一个通过AES-256 (CBC)加密用户数据的勒索软件，它要求BTC / ETH，以获得原始文件。在赎金注意没有标题，但只有一个引用的crss .exe:它的原始文件名。一旦文件被加密，CryptoPatronum会添加一个.enc扩展名。	NULL		保留	\0	win	勒索
5701	win.cryptorium					NULL		CryptoRium	Cryptorium,一个新的勒索软件被释放出来 安全专家正在分析的Cryptorium样本有点古怪,因为它仅仅是对文件进行了重命名,并没有加密文件	NULL		保留	\0	win	勒索
5702	win.cryptoshield					NULL		CryptoShield	一次对CryptoShield勒索软件的详细分析报告	NULL		保留	\0	win	勒索
5703	win.cryptoshuffler					NULL		CryptoShuffler	利用一款恶意软件 CryptoShuffler 设法从众多流行的加密货币（例如：Bitcoin、ZCash、 Ethereum、 Monero）钱包中窃取用户资金	NULL		保留	\0	win	木马
5704	win.cryptowall					NULL		CryptoWall	恶意软件CryptoWall 通过Windows help文件(.chm)感染用户电脑	NULL		保留	\0	win	勒索
5705	win.cryptowire					NULL		CryptoWire	CryptoWire勒索病毒家族详情	NULL		保留	\0	win	勒索
5706	win.cryptxxxx					NULL		Cryptxxxx		NULL		保留	\0	win	
5707	win.csext					NULL		Csext		NULL	Cleaver	保留	\0	win	
5708	cspydownloader					NULL		CspyDownloader	CSPY Downloader是一个设计用来逃避分析和下载Kimsuky使用的额外有效载荷的工具。	NULL		保留	\0		木马
5709	win.ctb_locker,CTB-Locker					NULL		CtbLocker	CTB-Locker敲诈者病毒下载器分析	NULL		保留	\0	win	勒索
5710	colddraw,tropicalscorpius,win.cuba					NULL		Cuba	Cuba是一个基于windows的勒索软件家族，至少自2019年12月以来，它一直被用于攻击北美和南美以及欧洲的金融机构、技术和物流组织。	NULL		保留	\0	win	勒索
5711	win.cuegoe					NULL		Cuegoe		NULL	APT32	保留	\0	win	
5712	win.cueisfry					NULL		Cueisfry		NULL		保留	\0	win	
5713	robloxtradeassist,js.cukiegrab_crx					NULL		CukiegrabCrx		NULL		保留	\0	js	
5714	ever101,win.curator					NULL		Curator	Profero将其描述为使用CryptoPP作为库来使用Salsa20算法启用文件加密并使用RSA2048保护加密密钥的勒索软件系列。	NULL		保留	\0	win	勒索
5715	win.cursed_murderer					NULL		CursedMurderer		NULL		保留	\0	win	
5716	win.cutlet					NULL		Cutlet		NULL		保留	\0	win	
5717	win.cutwail					NULL		Cutwail	特洛伊病毒Win32.Cutwail.DD修改系统文件	NULL	NARWHAL SPIDER	保留	\0	win	木马
5718	win.cyber_splitter					NULL		CyberSplitter	加密类勒索软件基于“Hidden Tear”,“Hidden Tear”是一个土耳其安全爱好者写的开源勒索软件,“Cyber SpLiTTer Vbs”是它的变种	NULL		保留	\0	win	勒索
5719	win.cybergate,rebhip,CyberGate RAT,CyberGateRAT					NULL		CyberGate	使用恶意文档(DOC)文件传递AutoIt脚本，该脚本又传递Taurus窃取程序来窃取凭据，Cookie，历史记录，系统信息等。同样，我们最近遇到了一个新的恶意软件活动，该活动使用相似的AutoIt脚本提供了CyberGate RAT和RedLine窃贼的新变体。	NULL		保留	\0	win	窃密
5720	win.cycbot					NULL		CycBot		NULL		保留	\0	win	
5721	elf.cyclops_blink,Cyclops Blink					NULL		CyclopsBlink	据CISA称，Cyclops Blink似乎是2018年暴露的VPNFilter恶意软件的替代框架，该恶意软件利用网络设备，主要是小型办公室/家庭办公室(SOHO)路由器和网络连接存储(NAS)设备。“独眼眼”至少从2019年6月开始部署，这是VPNFilter中断14个月后。与VPNFilter一样，独眼眼的部署也显得不分青红皂白，广泛使用。到目前为止，该参与者主要将独眼巨人眨眼部署到WatchGuard设备上，但沙虫很可能能够将恶意软件编译到其他架构和固件上。	NULL		保留	\0	elf	木马
5722	win.cyrat					NULL		CyRat		NULL		保留	\0	win	
5723	win.cysxl					NULL		Cysxl		NULL		保留	\0	win	
5724	elf.dacls,osx.dacls,mata,win.dacls,DaclsRAT,Dacls RAT					NULL		Dacls	安全厂商曾发布过Windows及Linux版本的Dacls远控木马，本次发现的MacOS版本，其增加了socks插件模块。该木马与Lazarus网络间谍组织相关，说明该间谍组织已经具有多平台攻击能力。	NULL	Lazarus Group	保留	\0	osx,elf,win	远控
5725	win.dadjoke					NULL		DadJoke	DADJOKE被发现通过电子邮件传播，目标是东南亚的一个国防部。它使用远程模板和使用多个GET请求的唯一宏作为Word文档中的嵌入式EXE文件交付。有效负载使用负载顺序劫持与良性Windows Defender可执行文件进行部署。Stage 1只有beacon+下载功能，看起来像一个PNG文件。卡巴斯基的其他分析发现，2019年有8次活动，2019年1月之前没有活动，DADJOKE对APT40的信心中等。	NULL	Leviathan	保留	\0	win	木马
5726	win.dadstache					NULL		DadStache		NULL	Leviathan	保留	\0	win	
5727	win.dairy					NULL		Dairy		NULL	Comment Crew	保留	\0	win	
